model_id,model,vendor,tier,measure,baseline_event,baseline_date,baseline_lifecycle,first_event,first_date,first_surface,first_exposure,first_lifecycle,lag_days_min,lag_days_max,certainty
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,copilot,any_exposure,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,,,,,,,,not_recorded
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,copilot,selectable_or_default,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,,,,,,,,not_recorded
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,m365,any_exposure,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,,,,,,,,not_recorded
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,m365,selectable_or_default,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,,,,,,,,not_recorded
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,studio,any_exposure,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,,,,,,,,not_recorded
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,studio,selectable_or_default,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,,,,,,,,not_recorded
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,github_copilot,any_exposure,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,,,,,,,,not_recorded
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,github_copilot,selectable_or_default,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,,,,,,,,not_recorded
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,foundry,any_exposure,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,foundry-haiku4-5-2025-11-18,2025-11-18,microsoft-foundry,catalogue,public_preview,34,34,exact
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,foundry,selectable_or_default,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,microsoft,any_exposure,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,microsoft,selectable_or_default,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,copilot,any_exposure,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,copilot,selectable_or_default,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,m365,any_exposure,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,m365,selectable_or_default,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,studio,any_exposure,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,studio,selectable_or_default,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,github_copilot,any_exposure,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
